title,pid,query_id,labels
women slim dark jean blue,JEAFTGSEW5KDCDJ2,3,1
round solid dark t-shirt neck men blue,TSHFESTT8E2GVHAJ,3,0
polo solid dark t-shirt neck men blue,TSHFR6YBTZ5NY2HQ,3,0
slim dark jean men blue,JEAFEN3WVGHTJPY9,3,1
slim dark jean men blue,JEAFJV3HMBB9YA7G,3,1
solid full casual jacket sleev men,JCKFUFGWGPSMQ6FJ,4,1
solid full casual jacket sleev men stripe,JCKFMGFUMG2ZFYJG,4,1
solid full jacket sleev men,JCKFQF3GRQYC4VVS,4,0
solid full jacket sleev men,JCKFWZZMPCHQA4GB,4,0
solid full casual jacket sleev men,JCKFRAJT3PCXS7T3,4,1
embroid dress blend women cotton ethnic lycra black,KTAFPHHVKZZ5GEHY,5,1
embroid dress blend women cotton orang ethnic lycra,KTAFPHHVSDSYVBV2,5,1
embroid dress blend cotton ethnic lycra white men,KTAFPHHVAYSHGU73,5,1
embroid dress yellow blend cotton ethnic lycra men,KTAFPHHVCARZAEZH,5,1
embroid dress blend cotton maroon ethnic lycra men,KTAFPHHV7GHGKP4C,5,1
y- brand back suspend men trunk black,SUSECSFFVNKG5VGG,6,0
solid full jacket sleev men,JCKFM76BTSH6YX4Z,6,0
y- blue back women suspend sunshop girl,SUSFZ9NSAXCCCZHA,6,0
y- blue back women suspend sunshop girl,SUSFZD7ZGPJVVF9A,6,0
y- back women suspend white sunshop girl,SUSFZD85JKXQQE6Z,6,0
self polo women t-shirt design neck beig,TSHFWSZJZNHNPX2Y,7,0
self polo t-shirt design neck men black,TSHFWSZJQSCYKUJJ,7,0
self polo women t-shirt design neck red,TSHFWSZJFCQGDD9R,7,0
self polo women maroon t-shirt design neck,TSHFWSZJH9S7WR2K,7,0
polo solid t-shirt neck men red,TSHFWYV9GCKA3WWP,7,0
